label,text
변상,직원숙소 임대차계약 업무 처리 태만전북지방노동위원회 직원숙소 임차계약 시 채권확보조치 등을 하지 않아 임의경매에 따라 전세보증금 일부를 회수하지 못하게 되어 국가에 손해를 끼친 책임에 대해 담당자들에게 변상판정함
변상,"법원의 채권압류 및 전부명령 후속업무 부당 처리Y,Z,AA는 중대한 과실로 경기도교육청에 291,633,970원의 손해를 끼쳤고 1:1:1의 책임비율로 각각 97,211,320원씩 변상할 책임이 있으나 신원보증보험금을 통해 손해액이 전핵 보전되어 경기도교육청에 더이상 변상할 금액이 없음"
변상,"공사대금을 잘못 지급하여 발생한 손해에 대한 유책판정L(재무관의 보조자)과 M(지출관)이 공사대금을 잘못 지급하여 82,410,360원의 손해가 발생한 사항에 대하여 L과 M의 책임비율을 6:4로 산정하고 회계직원책임법 제5조에 따라 100분의 70을 각각 감경하여 L은 14,833,865원, M은 9,889,243원을 국가에 변상할 책임이 있다고 판정"
시정(금액),명예퇴직 수당 환수업무 부적정국군재정관리단은 환수 대상자를 누락하여 2021년 퇴직 후 같은 해 재임용된 군무원의 명예퇴직수당 0.9억 원을 미환수하고 있는 등 명예퇴직 수당 환수업무 부적정
변상,"공사대금을 잘못 지급하여 발생한 손해에 대한 유책판정L(재무관의 보조자)과 M(지출관)이 공사대금을 잘못 지급하여 82,410,360원의 손해가 발생한 사항에 대하여 L과 M의 책임비율을 6:4로 산정하고 회계직원책임법 제5조에 따라 100분의 70을 각각 감경하여 L은 14,833,865원, M은 9,889,243원을 국가에 변상할 책임이 있다고 판정"
시정(금액),"특정법인과 거래를 통한 이익의 증여의제 혐의에 대한 세무조사결과 부당 처리부산지방국세청장에게 '상속세 및 증여세법' 제76조 제1항에 따라 특정법인의 지배주주 A로부터 무신고한 증여세 1,375,052,516원(가산세 포함)을 추가 징수토록 시정요구"
시정(금액),"특정법인과의 거래를 통한 이익의 증여의제 검토 소홀 등부산지방국세청장에게 '상속세 및 증여세법' 제76조 제1항에 따라 특정법인의 지배주주 등 5명이 무신고한 증여세 368,856,298원(가산세 포함)을 추가 징수토록 시정요구하고, 세무조사 업무를 소홀히 한 관련자(P, Q, R, S)에게는 주의를 촉구하도록 요구"
시정(금액),"가업상속공제가 적용된 자산에 대한 양도소득세 부족징수부산지방국세청장에게 AA로부터 '소득세법' 제114조 제2항에 따라 가업상속주식의 취득가액을 잘못 인정하여 부족 징수한 양도소득세 1,442,376,694원(가산세 포함)을 추가로 징수토록 시정요구하고, 관련자(AB, AC)에게는 주의를 촉구"
시정(금액),"공유지분 비율과 다른 임대소득 배분에 대한 소득세 및 증여세 검토 소홀부산지방국세청장에게 임대부동산 지분 비율과 다른 임대소득 배분과 관련하여 피상속인 AD로부터 종합소득세 218,952,248원(가산세 포함)을, 부동산 무상사용이익과 관련하여 상속인 AE로부터 증여세 223,542,875원(가산세 포함)을 각각 추가 징수하고 향후 상속세 조사 시 상속재산과 관련한 증여세 등이 누락되지 않도록 상속세 조사업무를 철저히 하도록 요구"
시정(금액),"매운고추 체험나라 조성사업 국고보조금 관리 부적정문화체육관광부장관은 「보조금 관리에 관한 법률」제30조 및 제31조 등에 따라 청양군이 관련 규정에 근거한 적정 사용 용도로 집행하지 아니한 국고보조금 총 66,581,380원(이자 미포함)의 교부결정을 취소하고 해당 금액을 반환하도록 시정하시기 바람"
