label,text
A411010,직원숙소 임대차계약 업무 처리 태만전북지방노동위원회 직원숙소 임차계약 시 채권확보조치 등을 하지 않아 임의경매에 따라 전세보증금 일부를 회수하지 못하게 되어 국가에 손해를 끼친 책임에 대해 담당자들에게 변상판정함
A411010,"법원의 채권압류 및 전부명령 후속업무 부당 처리Y,Z,AA는 중대한 과실로 경기도교육청에 291,633,970원의 손해를 끼쳤고 1:1:1의 책임비율로 각각 97,211,320원씩 변상할 책임이 있으나 신원보증보험금을 통해 손해액이 전핵 보전되어 경기도교육청에 더이상 변상할 금액이 없음"
A411010,"공사대금을 잘못 지급하여 발생한 손해에 대한 유책판정L(재무관의 보조자)과 M(지출관)이 공사대금을 잘못 지급하여 82,410,360원의 손해가 발생한 사항에 대하여 L과 M의 책임비율을 6:4로 산정하고 회계직원책임법 제5조에 따라 100분의 70을 각각 감경하여 L은 14,833,865원, M은 9,889,243원을 국가에 변상할 책임이 있다고 판정"
A411010,국유재산 사용허가 업무 부당 처리우정사업본부 직원 6명이 국유재산 사용허가를 하면서 이행보증조치를 하지 않은 채 사용료를 납부받지 못한 데 대해 판정
A411010,국유재산 사용허가 업무 부당 처리우정사업본부 직원 7명이 국유재산 사용허가를 하면서 이행보증조치를 하지 않은 채 사용료를 납부받지 못한 데 대해 판정
A411010,국유재산 사용허가 업무 부당 처리우정사업본부 직원 8명이 국유재산 사용허가를 하면서 이행보증조치를 하지 않은 채 사용료를 납부받지 못한 데 대해 판정
A411010,국유재산 대부 업무 부당 처리우정사업본부 직원 7명이 국유재산 대부를 하면서 이행보증조치를 하지 않은 채 대부료를 납부받지 못한 데 대해 판정
A411010,"영치금 횡령☆교도소 영치금 담당자인 A가 2018. 5. 18.부터 2019. 6. 30.까지 민원실에서 접수하거나 영치금 관리계좌에서 인출하여 현금으로 보관중이던 영치금 계 330,868,527원을 횡령한 후 전액 반환하고 있지 않고 있어 이에 대하여 A를 포함한 4명의 관련자에게 변상책임의 유무를 검토한 결과 A에게는 264,694,820원을, A의 횡령사실을 알고도 과장에게 보고하지 않고 결재를 한 C에게는 66,173,700원을 변상할 책임이 있다고 판단하였고 이외 A와 C의 과장이었던 B와 D에게는 변상할 책임이 없음."
A411010,"계약이행보증보험금(계약보증금) 청구권 부당 소멸 처리고양시는 재단법인 ◆◆의 ●● 구내식당 임대차 계약 체결업무 담당자 A, B, C 등 3명이 구내식당 운영자에게 귀책이 있는 사유로 식당 운영을 포기하였는데도 계약보증금을 ◆◆에 귀속시키지 않고 이행완료(보증채무소멸)확인서를 발급하여 준 결과 계약보증금을 회수하지 못하고 재단법인 ◆◆의 재산에 손해를 끼친 것에 대해 2019. 5. 10. 변상을 명령하였다. 이에 위 사람들이 이의를 제기하여 ?회계관계직원 등의 책임에 관한 법률? 제6조 제3항에 따라 각각 2019. 7. 9.(A?C), 같은 해 7. 30.(B)에 감사원의 변상판정을 청구하였다."
A411010,"창업지원자금 지원에 따른 채권확보 조치 미이행한국법무보호복지공단은 출소자의 사회복귀와 자립갱생을 지원할 목적으로 숙식제공과 주거지원, 창원지원 등의 갱생보호사업을 하고 있으며 이 중 보호공단 대전충남지부는 보호대상자 B에게 창업지원자금 47,500천 원을 지원하였음. 그러나 B는 창업지원금을 주기 위한 자격요건에 미달하는데도 업무담당자 C가 B의 자격요건이 충분하다고 안건을 상정하여 위 금액이 부당하게 지원되었음. 또한 C는 위 창업지원자금을 보호대상자가 아닌 그 아들 E에게 지급함.E는 해당 금액은 토지 및 건물 매입에 사용하였고 후에 해당 건물 및 토지가 경매로 넘어가 한국보호복지공단은 창업지원금 47,500천 원을 받지 못함. 이에 C에 대하여 변상판정함."
A411010,"공영주차장 조성을 위한 부지 매입업무 처리 태만공영주차장 부지에 설정된 근저당권 확인업무 등을 소홀히 하여 인천광역시 미추홀구에 위 부지 매매대금 216,881,370원의 손해를 끼친 데 대하여, 담당자 등은 총 25,064,400원을 인천광역시 미추홀구에 변상할 책임이 있음"
A411010,"직원숙소 임대차계약 업무 부당 처리한국철도시설공단은 직원 숙소를 임차하면서 재산평가액, 선순위 근저당권 설정 및 최근 거래 사례 등을 제대로 검토하지 않고 채권보전을 위한 충분한 조치 없이 임대차계약을 체결하였다가 위 숙소가 경매되어 임차보증금 손해가 발생"
A411010,"쌀 가공공장 건립사업 계약 대행업무 부당 처리계약대행 시 계약이행에 소요되는 경비를 계약이행 전에 대행의뢰자에게 청구하고 이를 사후정산해야 함에도, 대행의뢰자에 비용을 청구하지 아니하여 지방재정의 손실을 초래한 업무관련자에 대하여 변상판정"
